"","SpecimenAccession","SpecimenBarcode","DeterminationCalcFullName","Collectors","CollectorNumber","Day","Month","Year","FamilyName","CalcFullName","LocalityNotes","Accounted.for","Buds","Flowers","Fruits","Notes","Percent.Buds","Percent.Flowers","Percent.Fruit","doy","Phenophase"
"159877",159877,"0052536MOR","Cercis canadensis 'Covey'","Jurczynski, J","10300V06",26,4,2006,"Fabaceae","Cercis canadensis 'Covey'","Dwarf Woody Plants, bed 3; D-47/76-72","Yes",4,213,0,NA,1.84331797235023,98.1566820276498,0,116,5
"168248",168248,"0052057MOR","Cercis canadensis 'Covey'","Glaysher, L","11587v09",14,5,2009,"Fabaceae","Cercis canadensis 'Covey'","Dwarf Woody Plants, bed 3: D-47/76-72","Yes",3,22,0,NA,12,88,0,134,5
"172694",172694,"0057719MOR","Cercis canadensis 'Forest Pansy'","Courtney, C","12867v11",11,5,2011,"Fabaceae","Cercis canadensis 'Forest Pansy'","Fragrance Garden: KK-25/81-77","Yes",0,28,0,NA,0,100,0,131,5
"173564",173564,"0058856MOR","Cercis canadensis 'Forest Pansy'","Sachdev, S","13355v12",11,4,2012,"Fabaceae","Cercis canadensis 'Forest Pansy'","Fragrance Garden: KK-25/81-77","Yes",1,85,0,NA,1.16279069767442,98.8372093023256,0,102,5
"182600",182600,"0088559MOR","Cercis canadensis 'Forest Pansy'","Carle, M","14806v16",4,5,2016,"Fabaceae","Cercis canadensis 'Forest Pansy'","Four Seasons Garden: KK-28/14-87","Yes",1,110,0,NA,0.900900900900901,99.0990990990991,0,125,5
"186563",186563,"0098844MOR","Cercis canadensis 'MN Strain'","Nowicki, B","15964v18",10,9,2018,"Fabaceae","Cercis canadensis 'MN Strain'","Entrance Drive: O-41/18-34","Yes",0,0,6,NA,0,0,100,253,9
"190656",190656,"0101682MOR","Cercis canadensis 'MN Strain'","Potenberg, K","17821v23",20,4,2023,"Fabaceae","Cercis canadensis 'MN Strain'","Service Drive: M-41/12-57","Yes",96,45,0,NA,68.0851063829787,31.9148936170213,0,110,2
"172622",172622,"0057666MOR","Cercis canadensis 'Morton'","Moran, E","12831v11",4,5,2011,"Fabaceae","Cercis canadensis 'Morton'","Arbor Court: L-47/06-02","Yes",92,14,0,NA,86.7924528301887,13.2075471698113,0,124,2
"184882",184882,"0095836MOR","Cercis canadensis 'Pauline Lily'","Nowicki, B","15658v17",18,9,2017,"Fabaceae","Cercis canadensis 'Pauline Lily'","Godshalk Meadow: M-30/97-88","Yes",0,0,3,NA,0,0,100,261,9
"191209",191209,"0102499MOR","Cercis canadensis 'Pink Pom Poms'","Nowicki, B","17868v23",11,5,2023,"Fabaceae","Cercis canadensis 'Pink Pom Poms'","Research Building: H-41/24-76","Yes",0,34,0,NA,0,100,0,131,5
"13947",13947,"0043156MOR","Cercis canadensis 'Pinkbud'","Ciolac, C","s.n.",1,5,1970,"Fabaceae","Cercis canadensis 'Pinkbud'","Along Oakwood Dr. near DuPage River and Abies concolor.","Yes",82,0,0,NA,100,0,0,121,1
"74542",74542,"0043149MOR","Cercis canadensis 'Pinkbud'","Podrasky, N","1899V88",12,5,1988,"Fabaceae","Cercis canadensis 'Pinkbud'","Chinese Collection, Y-62/64-41","Yes",1,209,1,NA,0.4739336492891,99.0521327014218,0.4739336492891,133,5
"86350",86350,"0043146MOR","Cercis canadensis 'Pinkbud'","Shimp, E","2424V89",10,5,1989,"Fabaceae","Cercis canadensis 'Pinkbud'","Leguminosae Collection, L-64/90-00","Yes",60,54,0,NA,52.6315789473684,47.3684210526316,0,130,3
"86366",86366,"0043147MOR","Cercis canadensis 'Pinkbud'","Shimp, E","2425V89",10,5,1989,"Fabaceae","Cercis canadensis 'Pinkbud'","Leguminosae Collection, L-63/80-85","Yes",48,74,0,NA,39.344262295082,60.655737704918,0,130,3
"86355",86355,"0043148MOR","Cercis canadensis 'Pinkbud'","Shimp, E","2419V89",10,5,1989,"Fabaceae","Cercis canadensis 'Pinkbud'","Leguminosae Collection, N-63/85-40","Yes",23,112,0,NA,17.037037037037,82.962962962963,0,130,5
"196266",196266,NA,"Cercis canadensis 'UMN7101'","Potenberg, K","18906v25",31,7,2025,"Fabaceae","Cercis canadensis 'UMN7101'","Ornamental Flowering Trees: U-32/67-03","Yes",0,0,2,NA,0,0,100,212,9
"13950",13950,"0043161MOR","Cercis canadensis 'Wither's Pink Charm'","Braham, R","s.n.",28,7,1971,"Fabaceae","Cercis canadensis 'Wither's Pink Charm'","M-62/45-95","Yes",0,0,5,NA,0,0,100,209,9
"13951",13951,"0043162MOR","Cercis canadensis 'Wither's Pink Charm'","Braham, R","s.n.",18,5,1971,"Fabaceae","Cercis canadensis 'Wither's Pink Charm'","M-62/45-95","Yes",0,155,0,NA,0,100,0,138,5
"65250",65250,"0043151MOR","Cercis canadensis 'Wither's Pink Charm'","Deal, G","840V87",28,4,1987,"Fabaceae","Cercis canadensis 'Wither's Pink Charm'","M-62/10-75","Yes",108,8,0,NA,93.1034482758621,6.89655172413793,0,118,1
"13946",13946,"0043141MOR","Cercis canadensis f. alba Rehder","Kammerer, E","s.n.",21,5,1937,"Fabaceae","Cercis canadensis f. alba Rehder",NA,"Yes",2,56,0,NA,3.44827586206897,96.551724137931,0,141,5
"13942",13942,"0043142MOR","Cercis canadensis f. alba Rehder","Kammerer, E","s.n.",9,5,1939,"Fabaceae","Cercis canadensis f. alba Rehder",NA,"Yes",39,100,0,NA,28.0575539568345,71.9424460431655,0,129,NA
"13944",13944,"0043140MOR","Cercis canadensis f. alba Rehder","Read, RW","808",12,8,1970,"Fabaceae","Cercis canadensis f. alba Rehder","S side of Meadow Lake along Illinois Tree Trail, N-50/20-45","Yes",0,0,2,NA,0,0,100,224,9
"13945",13945,"0043139MOR","Cercis canadensis f. alba Rehder","Ciolac, C","s.n.",6,5,1970,"Fabaceae","Cercis canadensis f. alba Rehder","N-47/0-35","Yes",275,0,0,NA,100,0,0,126,1
"75004",75004,"0043133MOR","Cercis canadensis f. alba Rehder","Podrasky, N","1888V88",12,5,1988,"Fabaceae","Cercis canadensis f. alba Rehder","Near Meadow Lake, N-50/20-45","Yes",12,129,0,NA,8.51063829787234,91.4893617021277,0,133,5
"92588",92588,"0043144MOR","Cercis canadensis f. alba Rehder","Packard, S","3560V90",3,7,1990,"Fabaceae","Cercis canadensis f. alba Rehder","Near Meadow Lake, N-50/20-45","Yes",0,0,3,NA,0,0,100,184,9
"131836",131836,"0043143MOR","Cercis canadensis f. alba Rehder","Altvatter, K","7360V96",30,5,1996,"Fabaceae","Cercis canadensis f. alba Rehder","S side of Meadow Lake, N-51/55-65","Yes",0,18,0,NA,0,100,0,151,5
"13915",13915,"0043079MOR","Cercis canadensis L.","Braham, R","s.n.",14,5,1971,"Fabaceae","Cercis canadensis L.","E side of Simonds Rd., near Thornhill; JJ-31/area","Yes",2,142,0,NA,1.38888888888889,98.6111111111111,0,134,5
"13919",13919,"0043134MOR","Cercis canadensis L.","Braham, R","s.n.",28,7,1971,"Fabaceae","Cercis canadensis L.","N side of Simonds Rd. near Thornhill, JJ-31/area","Yes",0,0,20,NA,0,0,100,209,9
"75322",75322,"0043082MOR","Cercis canadensis L.","Podrasky, N","1322V87",8,7,1987,"Fabaceae","Cercis canadensis L.","Near East Cloverleaf, O-43","Yes",0,0,5,NA,0,0,100,189,9
"80381",80381,"0043081MOR","Cercis canadensis L.","Craft, A","2132V88",5,7,1988,"Fabaceae","Cercis canadensis L.","Chinese Collection, Y-62/64-41","Yes",0,0,7,NA,0,0,100,187,9
"86735",86735,"0043084MOR","Cercis canadensis L.","Klock, K","2454V89",17,5,1989,"Fabaceae","Cercis canadensis L.","F-60/area on Frost Hill","Yes",1,103,0,NA,0.961538461538462,99.0384615384615,0,137,5
"85641",85641,"0043088MOR","Cercis canadensis L.","Shimp, E","2410V89",10,5,1989,"Fabaceae","Cercis canadensis L.","Northern Illinois Collection, K-60/95-52","Yes",10,158,0,NA,5.95238095238095,94.047619047619,0,130,5
"85786",85786,"0043073MOR","Cercis canadensis L.","Shimp, E","2409V89",10,5,1989,"Fabaceae","Cercis canadensis L.","Northern Illinois, L-60/02-46","Yes",85,72,NA,NA,54.140127388535,45.859872611465,0,130,3
"85800",85800,"0043074MOR","Cercis canadensis L.","Shimp, E","2408V89",10,5,1989,"Fabaceae","Cercis canadensis L.","Northern Illinois, K-60/96-34","Yes",121,7,0,NA,94.53125,5.46875,0,130,1
"91528",91528,"0043075MOR","Cercis canadensis L.","Gavlak, N","3309V90",9,5,1990,"Fabaceae","Cercis canadensis L.","K-41/area near Administration Bldg.","Yes",0,68,0,NA,0,100,0,129,5
"95904",95904,"0043087MOR","Cercis canadensis L.","Gavlak, N","4040V90",31,8,1990,"Fabaceae","Cercis canadensis L.","Near Visitor Center, N-47/Area","Yes",0,0,3,NA,0,0,100,243,9
"96308",96308,"0043086MOR","Cercis canadensis L.","Gavlak, N","4045V90",31,8,1990,"Fabaceae","Cercis canadensis L.","Near Meadow Lake, P-48/Area","Yes",0,0,44,NA,0,0,100,243,9
"97408",97408,"0043138MOR","Cercis canadensis L.","Gavlak, N","4378V91",16,4,1991,"Fabaceae","Cercis canadensis L.","Near Visitor's Center, N-47/Area","Yes",228,0,0,NA,100,0,0,106,1
"97238",97238,"0043090MOR","Cercis canadensis L.","Packard, S","4384V91",19,4,1991,"Fabaceae","Cercis canadensis L.","Godshalk Meadow, L-35/63-44","Yes",305,0,0,NA,100,0,0,109,1
