"","PlantNumber","Taxon","Vernacular","ProvenanceType","DonorInstitute","PrincipalCollector","BgLocation","GardenGrid","GardenSubGrid","CommemorationText","Date","Direction","Percent.Buds","Percent.Flowers","Percent.Fruit","Phenophase"
"1","225-79*1","Tilia americana L.","American Basswood","Wild","MORTON-STAFF","Schulenberg, RF","Midwest","J-59","95-66",NA,46177,"N/A",100,0,0,1
"2","225-79*4","Tilia americana L.","American Basswood","Wild","MORTON-STAFF","Schulenberg, RF","Midwest","K-59","30-36",NA,46177,"N/A",0,0,0,NA
"3","225-79*3","Tilia americana L.","American Basswood","Wild","MORTON-STAFF","Schulenberg, RF","Midwest","K-59","46341",NA,46177,"N/A",0,0,0,NA
"4","225-79*6","Tilia americana L.","American Basswood","Wild","MORTON-STAFF","Schulenberg, RF","Tilia","Z-54","83-64","in river buffer",46177,"N/A",0,0,0,NA
"5","473-85*1","Tilia americana var. americana","American Basswood","Garden","MATT TURES SONS N.","n/a","Firefly Pond","G-45","10-80","In Memory of Chris Krick",46177,"N/A",100,0,0,1
"6","166-U*3","Tilia americana var. americana","American Basswood","Unknown","UNKNOWN","n/a","Thornhill South Lawn","II-27","85-05","In Memory of Chris Krick",46177,"N/A",100,0,0,1
"7","283-95*1","Tilia americana var. americana","American Basswood","Garden","KLEHM N.","n/a","Thornhill Parking","MM-24","78-45",NA,46177,"N/A",100,0,0,1
"8","194-94*1","Tilia americana var. americana","American Basswood","Garden","KLEHM N.","n/a","Thornhill Parking","NN-24","88-71","Mary R. Crossman
 1911 - 2007
 Beloved mother and grandmother.
 Lover of nature, arts and 
 an occasional scotch.",46177,"N/A",100,0,0,1
"9","821-37*1","Tilia americana var. americana","American Basswood","Garden","HESSE N.","n/a","Tilia","W-56","95-19",NA,46177,"N/A",0,0,0,NA
"10","850-55*1","Tilia americana var. americana","American Basswood","Garden","MORTON","n/a","Tilia","X-56","94-67",NA,46177,"N/A",100,0,0,1
"11","166-U*2","Tilia americana var. americana","American Basswood","Unknown","UNKNOWN","n/a","Anacardiaceae","X-59","90-10",NA,46177,"N/A",100,0,0,1
"12","2122-23*1","Tilia americana var. americana","American Basswood","Garden","OTTAWA CENT. EXP. FARM","n/a","Tilia","Y-56","32-85",NA,46177,"N/A",100,0,0,1
"13","225-79*1",NA,NA,NA,NA,NA,NA,NA,NA,NA,46185,"N/A",100,0,0,1
"14","225-79*4",NA,NA,NA,NA,NA,NA,NA,NA,NA,46185,"N/A",0,0,0,NA
"15","225-79*3",NA,NA,NA,NA,NA,NA,NA,NA,NA,46185,"N/A",0,0,0,NA
"16","225-79*6",NA,NA,NA,NA,NA,NA,NA,NA,NA,46185,"N/A",100,0,0,1
"17","473-85*1",NA,NA,NA,NA,NA,NA,NA,NA,NA,46185,"N/A",100,0,0,1
