"","SpecimenAccession","SpecimenBarcode","DeterminationCalcFullName","Collectors","CollectorNumber","Day","Month","Year","LocalityNotes","Accounted.for","Buds","Flowers","Fruits","Notes","Percent.Buds","Percent.Flowers","Percent.Fruit","doy","Phenophase"
"1","0.0","EDU","Acer nigrum F.Michx","Kim, B","BK31",26,8,2025,"O-54/06-85","Yes",0,0,10,NA,0,0,100,238,9
"4","23.0","0039296MOR","Acer buergerianum Miq.","Swink, FA","s.n.",22,8,1963,NA,"Yes",0,0,5,NA,0,0,100,234,9
"5","24.0","0039300MOR","Acer campestre L.","Eickhorst, W","s.n.",12,9,1935,"69-0","Yes",0,0,12,NA,0,0,100,255,9
"7","26.0","0039404MOR","Acer campestre L.","Swink, FA","s.n.",29,7,1964,"European Collection, V-36/60-80.","Yes",0,0,3,NA,0,0,100,211,9
"9","28.0","0039301MOR","Acer campestre L.","Hawkinson, L","s.n.",13,5,1941,"69-0","Yes",0,7,16,NA,0,30.43478261,69.56521739,133,7
"10","42.0","0039365MOR","Acer campestre var. austriacum (Tratt.) DC.","Ciolac, C","s.n.",31,5,1973,"F-64/55-60, Frost Hill.","Yes",0,0,19,NA,0,0,100,151,9
"11","43.0","0039371MOR","Acer campestre var. austriacum (Tratt.) DC.","Ciolac, C","s.n.",25,4,1973,"G-63/00-90 Frost Hill.","Yes",36,116,0,NA,23.68421053,76.31578947,0,115,NA
"12","45.0","0039375MOR","Acer campestre var. austriacum (Tratt.) DC.","Lesica, P","s.n.",24,7,1972,"F-64/75-20 on Frost Hill.","Yes",0,0,6,NA,0,0,100,206,9
"19","70.0","0039402MOR","Acer circinatum Pursh","Kammerer, E","s.n.",25,6,1946,"Administration Building grounds","Yes",0,0,12,NA,0,0,100,176,9
"20","71.0","0039401MOR","Acer circinatum Pursh","Hawkinson, L","s.n.",25,4,1941,"Administration Building grounds","Yes",9,19,0,NA,32.14285714,67.85714286,0,115,NA
"24","121.0","0039911MOR","Acer tataricum subsp. ginnala (Maxim.) Wesm.","Swink, FA","s.n.",11,8,1964,"Acer Collection, T-99/20-80","Yes",0,0,23,NA,0,0,100,224,9
"25","122.0","0039901MOR","Acer tataricum subsp. ginnala (Maxim.) Wesm.","Kammerer, E","s.n.",6,8,1936,"Godshalk Meadow","Yes",0,0,12,NA,0,0,100,219,9
"26","123.0","0039902MOR","Acer tataricum subsp. ginnala (Maxim.) Wesm.","Ciolac, C","s.n.",31,5,1973,"Acer Collection, just N of Oakwood Dr.; O-101/20-10","Yes",1,45,20,NA,1.515151515,68.18181818,30.3030303,151,6
