"","SpecimenAccession","SpecimenBarcode","DeterminationCalcFullName","Collectors","CollectorNumber","Day","Month","Year","LocalityNotes","Accounted.for","Buds","Flowers","Fruits","Notes","Percent.Buds","Percent.Flowers","Percent.Fruit","doy","Phenophase"
"182412",182412,"0088479MOR","Tilia amurensis subsp. amurensis","Dorrell, J","15168v16",25,10,2016,"China: X-64/29-37","Yes",0,0,1,NA,0,0,100,299,9
"170420",170420,"0055677MOR","Tilia amurensis subsp. taquetii (C.K.Schneid.) Pigott","Means, E","11698v09",9,7,2009,"Korea: Q-66/24-23","Yes",0,0,7,NA,0,0,100,190,9
"176994",176994,"0064036MOR","Tilia amurensis subsp. taquetii (C.K.Schneid.) Pigott","Glaysher, L","13905v13",25,7,2013,"Korea: P-63/97-58","Yes",0,0,24,NA,0,0,100,206,9
"177467",177467,"0065852MOR","Tilia amurensis subsp. taquetii (C.K.Schneid.) Pigott","Beck, J","13904v13",25,7,2013,"Korea: Q-63/15-76","Yes",0,0,82,NA,0,0,100,206,9
"177468",177468,"0065853MOR","Tilia amurensis subsp. taquetii (C.K.Schneid.) Pigott","Beck, J","13906v13",25,7,2013,"Korea: P-63/95-89","Yes",0,0,75,NA,0,0,100,206,9
"34695",34695,"0049510MOR","Tilia chinensis Maxim.","Hess, WJ","4450",6,10,1978,"Tilia collection on east side near DuPage River by coordinates U-55/35-25.","Yes",0,0,7,NA,0,0,100,279,9
"158514",158514,"0050088MOR","Tilia chinensis Maxim.","Vogel, S","9702V03",30,6,2003,"Tilia, north section: AA-52/25-05","Yes",117,68,0,NA,63.2432432432432,36.7567567567568,0,181,2
"122218",122218,"0049481MOR","Tilia chinensis Maxim.","Altvatter, K","6795V94",25,8,1994,"Tiliaceae Collection, U-55/35-25","Yes",0,0,21,NA,0,0,100,237,9
"112864",112864,"0049483MOR","Tilia chinensis Maxim.","Bradtke, HL","5891V93",23,6,1993,"Tilia Collection, U-55/40-55","Yes",91,19,0,NA,82.7272727272727,17.2727272727273,0,174,2
"120577",120577,"0049482MOR","Tilia chinensis Maxim.","Packard, S","6718V94",16,8,1994,"Tilia Collection, AA-52/25-05","Yes",0,0,12,NA,0,0,100,228,9
"193013",193013,"0109214MOR","Tilia cordata 'Corzam'","Potenberg, K","18549v24",22,8,2024,"Firefly Pond: G-43/45-38","Yes",0,0,6,NA,0,0,100,235,9
"179435",179435,"0076037MOR","Tilia cordata 'Greenspire'","Means, E","14250v14",24,7,2014,"Meadow Lake: N-51/83-98","Yes",0,0,18,NA,0,0,100,205,9
"158959",158959,"0051420MOR","Tilia cordata 'Greenspire'","Packard, S","9701V03",30,6,2003,"Tilia, north section: Z-51/35-35","Yes",41,101,2,NA,28.4722222222222,70.1388888888889,1.38888888888889,181,NA
"120627",120627,"0050018MOR","Tilia cordata 'Greenspire'","Carlino, J","6734V94",16,8,1994,"Row 11 in Tree Evaluation Plot, E-96/Area","Yes",0,0,4,NA,0,0,100,228,9
