"","SpecimenAccession","SpecimenBarcode","DeterminationCalcFullName","Chicago.Native","Countinent.of.origin","Collectors","CollectorNumber","Day","Month","Year","LocalityNotes","Accounted.for","Buds","Flowers","Fruits","Notes","Percent.Buds","Percent.Flowers","Percent.Fruit"
"195010","195010","0112609MOR","Tilia 'Zamoyskiana'",NA,NA,"Potenberg, K","18868v25",26,6,2025,"Staff Parking: K-44/55-17","No",NA,NA,NA,NA,NA,NA,NA
"117216","117216",NA,"Tilia amurensis Rupr.",NA,NA,"Unknown","HLJ-15",1,9,1993,"Ping Shan","No",NA,NA,NA,NA,NA,NA,NA
"36827","36827","0049478MOR","Tilia chinensis Maxim.",NA,NA,"Hess, WJ","4760",9,7,1979,"Tilia Collection, near U-55, east of road.","No",NA,NA,NA,NA,NA,NA,NA
"194999","194999","0112598MOR","Tilia tomentosa 'Sterling'",NA,NA,"Dorrell, J","18877v25",3,7,2025,"Children's Garden: Windmill Garden: J-50/07-99","No",NA,NA,NA,NA,NA,NA,NA
"13918","13918","0043094MOR","Cercis canadensis L.",NA,NA,"Teuscher, H","s.n.",19,9,1923,NA,"Yes",NA,NA,NA,"Sprouts",NA,NA,NA
"50","50",NA,"Acer diabolicum Blume ex K.Koch",NA,NA,"Dorrell, J","16919v21",26,8,2021,"Acer: U-99/15-14","looked",NA,NA,NA,NA,NA,NA,NA
"188968","188968","0099865MOR","Acer floridanum (Chapm.) Pax",NA,NA,"Potenberg, K","16943v21",30,9,2021,"Acer: Q-102/87-18","looked",NA,NA,NA,NA,NA,NA,NA
"162085","162085","0053206MOR","Acer glabrum × tataricum",NA,NA,"Bonnewell, V",NA,7,5,2007,"Tree Breeding Nursery, EN1/K23","looked",NA,NA,NA,NA,NA,NA,NA
"162086","162086","0053205MOR","Acer glabrum × tataricum",NA,NA,"Bonnewell, V",NA,7,5,2007,"Tree Breeding Nursery, EN1/K21","looked",NA,NA,NA,NA,NA,NA,NA
"66","66",NA,"Acer miyabei 'JFS-KW3AMI'",NA,NA,"Hartmann, K","19132v26",5,5,2026,"Firefly Pond: B-41/31-75","looked",NA,NA,NA,NA,NA,NA,NA
"166388","166388",NA,"Acer miyabei Maxim.",NA,NA,"Potenberg, K","11431v08",28,10,2008,"Godshalk Meadow, south side: L-30/50-40","looked",NA,NA,NA,NA,NA,NA,NA
"176983","176983","0064035MOR","Acer palmatum 'Burgundy Lace'",NA,NA,"Carle, M","13867v13",3,7,2013,"Acer: T-99/31-19","looked",NA,NA,NA,NA,NA,NA,NA
"106857","106857","0039983MOR","Acer platanoides L.",NA,NA,"Altvatter, K","5514V92",9,10,1992,"Display Area, B-48/55-55.","looked",NA,NA,NA,NA,NA,NA,NA
"187893","187893","0099244MOR","Acer platanoides L.",NA,NA,"Worcester, L","LW433",28,9,2018,"Display: B-48/96-53","looked",NA,NA,NA,NA,NA,NA,NA
"146703","146703","0055072MOR","Acer",NA,NA,"Wiegrefe, S","543",19,6,1998,NA,"No",NA,NA,NA,NA,NA,NA,NA
"146743","146743","0055445MOR","Acer",NA,NA,"Wiegrefe, S","583",29,6,1998,NA,"No",NA,NA,NA,NA,NA,NA,NA
"146964","146964","0054891MOR","Acer",NA,NA,"Wiegrefe, S","752",14,8,1998,NA,"No",NA,NA,NA,NA,NA,NA,NA
"146967","146967","0054894MOR","Acer",NA,NA,"Wiegrefe, S","755",14,8,1998,NA,"No",NA,NA,NA,NA,NA,NA,NA
"146977","146977","0054818MOR","Acer",NA,NA,"Wiegrefe, S","660",30,7,1998,NA,"No",NA,NA,NA,NA,NA,NA,NA
"147264","147264","0054898MOR","Acer",NA,NA,"Wiegrefe, S","764",14,8,1998,NA,"No",NA,NA,NA,NA,NA,NA,NA
"149268","149268","0039550MOR","Acer 'Morton UW'",NA,NA,"Jordan, S","9141V00",27,4,2000,"Aceraceae Collection, X-60/90-63","No",NA,NA,NA,NA,NA,NA,NA
"10","10","0039290MOR","Acer argutum Maxim.",NA,NA,"Schulenberg, RF","s.n.",15,10,1976,"Frost Hill, E-62/00-85","No",NA,NA,NA,NA,NA,NA,NA
"9414","9414","0039291MOR","Acer argutum Maxim.",NA,NA,"Schulenberg, RF","s.n.",20,4,1977,"E-62/00-85, on the southeast part of Frost Hill.","No",NA,NA,NA,NA,NA,NA,NA
"187437","187437","0098322MOR","Acer argutum Maxim.",NA,NA,"Worcester, L","LW261",31,7,2018,"China: Y-61/10-93","No",NA,NA,NA,NA,NA,NA,NA
"189728","189728","0102267MOR","Acer argutum Maxim.",NA,NA,"Potenberg, K","17424v22",29,9,2022,"China: south section: Y-61/10-93","No",NA,NA,NA,NA,NA,NA,NA
"48","48",NA,"Acer saccharinum 'Skinneri'",NA,NA,"Sachdev, S","13678v13",3,4,2013,"Entrance Drive: M-41/27-69","No",NA,NA,NA,NA,NA,NA,NA
"119676","119676",NA,"Acer saccharinum L.",NA,NA,"Packard, S","6504V94",24,5,1994,"Acer Collection, [R-98/05-50]","No",NA,NA,NA,NA,NA,NA,NA
"49","49",NA,"Acer saccharum 'Hiawatha 1'",NA,NA,"Hartmann, K","19133v26",5,5,2026,"Firefly Pond: B-42/59-30","No",NA,NA,NA,NA,NA,NA,NA
"71791","71791","0040001MOR","Acer saccharum subsp. leucoderme (Small) Desmarais",NA,NA,"Podrasky, N","438V85",24,4,1985,"Forest Road, J-94/75-35.","No",NA,NA,NA,NA,NA,NA,NA
