"","PlantNumber","Taxon","Vernacular","ProvenanceType","DonorInstitute","PrincipalCollector","BgLocation","GardenGrid","GardenSubGrid","CommemorationText","Shade","Canopy.Cover","Date","Direction","Percent.Buds","Percent.Flowers","Percent.Fruit","Phenophase","doy"
"1","225-79*1","Tilia americana L.","American Basswood","Wild","MORTON-STAFF","Schulenberg, RF","Midwest","J-59","95-66",NA,"N/A","N/A",46177,"N/A",100,0,0,1,157
"2","225-79*4","Tilia americana L.","American Basswood","Wild","MORTON-STAFF","Schulenberg, RF","Midwest","K-59","30-36",NA,"T","F",46177,"N/A",0,0,0,NA,157
"3","225-79*3","Tilia americana L.","American Basswood","Wild","MORTON-STAFF","Schulenberg, RF","Midwest","K-59","46341",NA,"T","T",46177,"N/A",0,0,0,NA,157
"4","225-79*6","Tilia americana L.","American Basswood","Wild","MORTON-STAFF","Schulenberg, RF","Tilia","Z-54","83-64","in river buffer","N/A","F",46177,"N/A",0,0,0,NA,157
"5","473-85*1","Tilia americana var. americana","American Basswood","Garden","MATT TURES SONS N.","n/a","Firefly Pond","G-45","10-80","In Memory of Chris Krick","N/A","N/A",46177,"N/A",100,0,0,1,157
"6","166-U*3","Tilia americana var. americana","American Basswood","Unknown","UNKNOWN","n/a","Thornhill South Lawn","II-27","85-05","In Memory of Chris Krick","N/A","F",46177,"N/A",100,0,0,1,157
"7","283-95*1","Tilia americana var. americana","American Basswood","Garden","KLEHM N.","n/a","Thornhill Parking","MM-24","78-45",NA,"N/A","N/A",46177,"N/A",100,0,0,1,157
"8","194-94*1","Tilia americana var. americana","American Basswood","Garden","KLEHM N.","n/a","Thornhill Parking","NN-24","88-71","Mary R. Crossman
 1911 - 2007
 Beloved mother and grandmother.
 Lover of nature, arts and 
 an occasional scotch.","N/A","N/A",46177,"N/A",100,0,0,1,157
"9","821-37*1","Tilia americana var. americana","American Basswood","Garden","HESSE N.","n/a","Tilia","W-56","95-19",NA,"N/A","N/A",46177,"N/A",0,0,0,NA,157
"10","850-55*1","Tilia americana var. americana","American Basswood","Garden","MORTON","n/a","Tilia","X-56","94-67",NA,"N/A","N/A",46177,"N/A",100,0,0,1,157
"11","166-U*2","Tilia americana var. americana","American Basswood","Unknown","UNKNOWN","n/a","Anacardiaceae","X-59","90-10",NA,"N/A","N/A",46177,"N/A",100,0,0,1,157
"12","2122-23*1","Tilia americana var. americana","American Basswood","Garden","OTTAWA CENT. EXP. FARM","n/a","Tilia","Y-56","32-85",NA,"N/A","F",46177,"N/A",100,0,0,1,157
"13","225-79*1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"N/A","N/A",46185,"N/A",100,0,0,1,165
"14","225-79*4",NA,NA,NA,NA,NA,NA,NA,NA,NA,"T","F",46185,"N/A",0,0,0,NA,165
"15","225-79*3",NA,NA,NA,NA,NA,NA,NA,NA,NA,"T","T",46185,"N/A",0,0,0,NA,165
"16","225-79*6",NA,NA,NA,NA,NA,NA,NA,NA,NA,"N/A","F",46185,"N/A",100,0,0,1,165
"17","473-85*1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"N/A","N/A",46185,"N/A",100,0,0,1,165
"18","166-U*3",NA,NA,NA,NA,NA,NA,NA,NA,NA,"N/A","F",46185,"N/A",100,0,0,1,165
"19","283-95*1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"N/A","N/A",46185,"N/A",0,0,0,NA,165
"20","194-94*1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"N/A","N/A",46185,"N/A",100,0,0,1,165
"21","821-37*1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"N/A","N/A",46185,"N/A",100,0,0,1,165
"22","850-55*1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"N/A","N/A",46185,"N/A",99,1,0,1,165
"23","166-U*2",NA,NA,NA,NA,NA,NA,NA,NA,NA,"N/A","N/A",46185,"N/A",99,1,0,1,165
"24","567-32*3",NA,NA,NA,NA,NA,NA,NA,NA,NA,"F","F",46185,"N/A",28,54,18,4,165
"25","2122-23*1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"N/A","F",46185,"N/A",100,0,0,1,165
"26","225-79*1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"T","F",46188,"North",0,0,0,NA,168
"27","225-79*4",NA,NA,NA,NA,NA,NA,NA,NA,NA,"T","F",46188,"North",0,0,0,NA,168
"28","225-79*3",NA,NA,NA,NA,NA,NA,NA,NA,NA,"T","T",46188,"North",0,0,0,NA,168
"29","225-79*6",NA,NA,NA,NA,NA,NA,NA,NA,NA,"T","F",46188,"North",100,0,0,1,168
"30","473-85*1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"F","F",46188,"North",100,0,0,1,168
"31","166-U*3",NA,NA,NA,NA,NA,NA,NA,NA,NA,"F","F",46188,"North",100,0,0,1,168
"32","283-95*1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"N/A","N/A",46188,"North",0,0,0,NA,168
"33","194-94*1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"F","F",46188,"North",97,3,0,1,168
"34","821-37*1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"F","F",46188,"North",0,0,0,NA,168
"35","850-55*1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"F","F",46188,"North",0,0,0,NA,168
"36","166-U*2",NA,NA,NA,NA,NA,NA,NA,NA,NA,"F","F",46188,"North",0,0,0,NA,168
"37","567-32*3",NA,NA,NA,NA,NA,NA,NA,NA,NA,"F","F",46188,"North",35,59,6,3,168
"38","2122-23*1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"F","F",46188,"North",100,0,0,1,168
"39","225-79*1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"F","F",46188,"East",100,0,0,1,168
"40","225-79*4",NA,NA,NA,NA,NA,NA,NA,NA,NA,"T","F",46188,"East",0,0,0,NA,168
"41","225-79*3",NA,NA,NA,NA,NA,NA,NA,NA,NA,"T","T",46188,"East",0,0,0,NA,168
"42","225-79*6",NA,NA,NA,NA,NA,NA,NA,NA,NA,"F","F",46188,"East",100,0,0,1,168
"43","473-85*1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"F","F",46188,"East",97,3,0,1,168
"44","166-U*3",NA,NA,NA,NA,NA,NA,NA,NA,NA,"T","F",46188,"East",100,0,0,1,168
"45","283-95*1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"N/A","N/A",46188,"East",0,0,0,NA,168
"46","194-94*1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"F","F",46188,"East",100,0,0,1,168
"47","821-37*1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"F","F",46188,"East",100,0,0,1,168
"48","850-55*1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"T","T",46188,"East",100,0,0,1,168
"49","166-U*2",NA,NA,NA,NA,NA,NA,NA,NA,NA,"T","T",46188,"East",100,0,0,1,168
"50","567-32*3",NA,NA,NA,NA,NA,NA,NA,NA,NA,"F","F",46188,"East",40,58,2,3,168
"51","2122-23*1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"T","F",46188,"East",100,0,0,1,168
"52","225-79*1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"F","F",46188,"South",0,0,0,NA,168
"53","225-79*4",NA,NA,NA,NA,NA,NA,NA,NA,NA,"T","F",46188,"South",0,0,0,NA,168
"54","225-79*3",NA,NA,NA,NA,NA,NA,NA,NA,NA,"T","T",46188,"South",0,0,0,NA,168
"55","225-79*6",NA,NA,NA,NA,NA,NA,NA,NA,NA,"T","F",46188,"South",100,0,0,1,168
"56","473-85*1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"F","F",46188,"South",100,0,0,1,168
"57","166-U*3",NA,NA,NA,NA,NA,NA,NA,NA,NA,"F","F",46188,"South",100,0,0,1,168
"58","283-95*1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"N/A","N/A",46188,"South",0,0,0,NA,168
"59","194-94*1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"T","T",46188,"South",100,0,0,1,168
"60","821-37*1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"T","T",46188,"South",100,0,0,1,168
"61","850-55*1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"T","F",46188,"South",100,0,0,1,168
"62","166-U*2",NA,NA,NA,NA,NA,NA,NA,NA,NA,"F","F",46188,"South",100,0,0,1,168
"63","567-32*3",NA,NA,NA,NA,NA,NA,NA,NA,NA,"F","F",46188,"South",19,81,0,5,168
"64","2122-23*1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"T","F",46188,"South",100,0,0,1,168
"65","225-79*1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"T","T",46188,"West",0,0,0,NA,168
"66","225-79*4",NA,NA,NA,NA,NA,NA,NA,NA,NA,"T","F",46188,"West",0,0,0,NA,168
"67","225-79*3",NA,NA,NA,NA,NA,NA,NA,NA,NA,"T","T",46188,"West",0,0,0,NA,168
"68","225-79*6",NA,NA,NA,NA,NA,NA,NA,NA,NA,"F","F",46188,"West",100,0,0,1,168
"69","473-85*1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"T","T",46188,"West",100,0,0,1,168
"70","166-U*3",NA,NA,NA,NA,NA,NA,NA,NA,NA,"T","F",46188,"West",100,0,0,1,168
"71","283-95*1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"N/A","N/A",46188,"West",0,0,0,NA,168
"72","194-94*1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"T","T",46188,"West",0,0,0,NA,168
"73","821-37*1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"F","F",46188,"West",0,0,0,NA,168
"74","850-55*1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"F","F",46188,"West",0,0,0,NA,168
"75","166-U*2",NA,NA,NA,NA,NA,NA,NA,NA,NA,"F","F",46188,"West",0,0,0,NA,168
"76","567-32*3",NA,NA,NA,NA,NA,NA,NA,NA,NA,"F","F",46188,"West",38,60,2,3,168
"77","2122-23*1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"T","F",46188,"West",100,0,0,1,168
"78","225-79*1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"T","F",46191,"North",0,0,0,NA,171
"79","225-79*4",NA,NA,NA,NA,NA,NA,NA,NA,NA,"T","F",46191,"North",0,0,0,NA,171
"80","225-79*3",NA,NA,NA,NA,NA,NA,NA,NA,NA,"T","T",46191,"North",0,0,0,NA,171
"81","225-79*6",NA,NA,NA,NA,NA,NA,NA,NA,NA,"T","F",46191,"North",100,0,0,1,171
"82","473-85*1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"F","F",46191,"North",98,2,0,1,171
"83","166-U*3",NA,NA,NA,NA,NA,NA,NA,NA,NA,"F","F",46191,"North",100,0,0,1,171
"84","283-95*1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"N/A","N/A",46191,"North",0,0,0,NA,171
"85","194-94*1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"F","F",46191,"North",96,4,0,1,171
"86","821-37*1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"F","F",46191,"North",100,0,0,1,171
"87","850-55*1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"F","F",46191,"North",100,0,0,1,171
"88","166-U*2",NA,NA,NA,NA,NA,NA,NA,NA,NA,"F","F",46191,"North",100,0,0,1,171
"89","567-32*3",NA,NA,NA,NA,NA,NA,NA,NA,NA,"F","F",46191,"North",5,66,29,6,171
"90","2122-23*1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"F","F",46191,"North",100,0,0,1,171
"91","225-79*1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"F","F",46191,"East",95,5,0,1,171
"92","225-79*4",NA,NA,NA,NA,NA,NA,NA,NA,NA,"T","F",46191,"East",0,0,0,NA,171
"93","225-79*3",NA,NA,NA,NA,NA,NA,NA,NA,NA,"T","T",46191,"East",0,0,0,NA,171
"94","225-79*6",NA,NA,NA,NA,NA,NA,NA,NA,NA,"F","F",46191,"East",100,0,0,1,171
"95","473-85*1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"F","F",46191,"East",98,2,0,1,171
"96","166-U*3",NA,NA,NA,NA,NA,NA,NA,NA,NA,"T","F",46191,"East",100,0,0,1,171
"97","283-95*1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"N/A","N/A",46191,"East",0,0,0,NA,171
"98","194-94*1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"F","F",46191,"East",100,0,0,1,171
"99","821-37*1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"F","F",46191,"East",100,0,0,1,171
"100","850-55*1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"T","T",46191,"East",100,0,0,1,171
"101","166-U*2",NA,NA,NA,NA,NA,NA,NA,NA,NA,"T","T",46191,"East",100,0,0,1,171
"102","567-32*3",NA,NA,NA,NA,NA,NA,NA,NA,NA,"F","F",46191,"East",77,23,0,2,171
"103","2122-23*1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"T","F",46191,"East",100,0,0,1,171
"104","225-79*1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"F","F",46191,"South",100,0,0,1,171
"105","225-79*4",NA,NA,NA,NA,NA,NA,NA,NA,NA,"T","F",46191,"South",0,0,0,NA,171
"106","225-79*3",NA,NA,NA,NA,NA,NA,NA,NA,NA,"T","T",46191,"South",53,47,0,3,171
"107","225-79*6",NA,NA,NA,NA,NA,NA,NA,NA,NA,"T","F",46191,"South",100,0,0,1,171
"108","473-85*1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"F","F",46191,"South",100,0,0,1,171
"109","166-U*3",NA,NA,NA,NA,NA,NA,NA,NA,NA,"F","F",46191,"South",100,0,0,1,171
"110","283-95*1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"N/A","N/A",46191,"South",0,0,0,NA,171
"111","194-94*1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"T","T",46191,"South",100,0,0,1,171
"112","821-37*1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"T","T",46191,"South",100,0,0,1,171
"113","850-55*1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"T","F",46191,"South",100,0,0,1,171
"114","166-U*2",NA,NA,NA,NA,NA,NA,NA,NA,NA,"F","F",46191,"South",100,0,0,1,171
"115","567-32*3",NA,NA,NA,NA,NA,NA,NA,NA,NA,"F","F",46191,"South",15,85,0,5,171
"116","2122-23*1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"T","F",46191,"South",100,0,0,1,171
"117","225-79*1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"T","T",46191,"West",0,0,0,NA,171
"118","225-79*4",NA,NA,NA,NA,NA,NA,NA,NA,NA,"T","F",46191,"West",0,0,0,NA,171
"119","225-79*3",NA,NA,NA,NA,NA,NA,NA,NA,NA,"T","T",46191,"West",65,35,0,2,171
"120","225-79*6",NA,NA,NA,NA,NA,NA,NA,NA,NA,"F","F",46191,"West",100,0,0,1,171
"121","473-85*1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"T","T",46191,"West",100,0,0,1,171
"122","166-U*3",NA,NA,NA,NA,NA,NA,NA,NA,NA,"T","F",46191,"West",100,0,0,1,171
"123","283-95*1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"N/A","N/A",46191,"West",0,0,0,NA,171
"124","194-94*1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"T","T",46191,"West",0,0,0,NA,171
"125","821-37*1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"F","F",46191,"West",100,0,0,1,171
"126","850-55*1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"F","F",46191,"West",100,0,0,1,171
