"","PlantNumber","Direction","Pheno_Stage","Mean_DOY","Observation_Count"
"1","166-U*2","East","early",173.6,5
"2","166-U*2","East","peak",180,1
"3","166-U*2","N/A","early",159,2
"4","166-U*2","North","early",171,2
"5","166-U*2","North","late",185,2
"6","166-U*2","North","peak",178.5,2
"7","166-U*2","South","early",171.25,4
"8","166-U*2","South","late",183,1
"9","166-U*2","South","peak",180,1
"10","166-U*2","West","early",173,3
"11","166-U*2","West","late",187,1
"12","166-U*2","West","peak",180,1
"13","166-U*3","East","early",174.666666666667,6
"14","166-U*3","East","late",189,2
"15","166-U*3","N/A","early",159,2
"16","166-U*3","North","early",173,5
"17","166-U*3","North","late",191,1
"18","166-U*3","North","peak",185,2
"19","166-U*3","South","early",171.25,4
"20","166-U*3","South","late",189,2
"21","166-U*3","South","peak",181.5,2
"22","166-U*3","West","early",173,5
"23","166-U*3","West","late",191,1
"24","166-U*3","West","peak",185,2
"25","194-94*1","East","early",171.25,4
"26","194-94*1","East","late",187,1
"27","194-94*1","East","peak",181.5,2
"28","194-94*1","N/A","early",159,2
"29","194-94*1","North","early",167.5,2
"30","194-94*1","North","peak",181.5,2
"31","194-94*1","South","early",171.25,4
"32","2122-23*1","East","early",173,5
"33","2122-23*1","East","late",187,2
"34","2122-23*1","East","peak",183,1
"35","2122-23*1","N/A","early",159,2
"36","2122-23*1","North","early",171.25,4
"37","2122-23*1","North","peak",181.5,2
"38","2122-23*1","South","early",171.25,4
"39","2122-23*1","South","late",189,2
"40","2122-23*1","South","peak",181.5,2
"41","2122-23*1","West","early",173,5
"42","2122-23*1","West","late",189,2
"43","2122-23*1","West","peak",183,1
"44","225-79*1","East","early",169.333333333333,3
"45","225-79*1","East","late",183,1
"46","225-79*1","East","peak",178.5,2
"47","225-79*1","N/A","early",159,2
"48","225-79*1","South","early",171,2
"49","225-79*1","South","late",183,1
"50","225-79*1","South","peak",178.5,2
"51","225-79*3","East","late",183,1
"52","225-79*3","East","peak",178.5,2
"53","225-79*3","North","peak",177,1
"54","225-79*3","South","early",173,3
"55","225-79*3","West","early",171,2
"56","225-79*3","West","late",183,1
"57","225-79*3","West","peak",178.5,2
"58","225-79*4","East","peak",181.5,2
"59","225-79*4","West","peak",181.5,2
"60","225-79*6","East","early",173,5
"61","225-79*6","East","late",187,1
"62","225-79*6","East","peak",183,1
"63","225-79*6","N/A","early",163,1
"64","225-79*6","North","early",173,5
"65","225-79*6","North","late",189,2
"66","225-79*6","North","peak",183,1
"67","225-79*6","South","early",173,5
"68","225-79*6","South","peak",185,2
"69","225-79*6","West","early",171.25,4
"70","225-79*6","West","late",187,1
"71","225-79*6","West","peak",181.5,2
"72","283-95*1","N/A","early",155,1
"73","473-85*1","East","early",172,4
"74","473-85*1","East","late",189,2
"75","473-85*1","East","peak",180,2
"76","473-85*1","N/A","early",159,2
"77","473-85*1","North","early",171.25,4
"78","473-85*1","North","late",187,1
"79","473-85*1","North","peak",181.5,2
"80","473-85*1","South","early",171.25,4
"81","473-85*1","South","late",189,2
"82","473-85*1","South","peak",181.5,2
"83","473-85*1","West","early",169.333333333333,3
"84","473-85*1","West","late",183,1
"85","473-85*1","West","peak",178.5,2
"86","567-32*3","East","early",167.5,2
"87","567-32*3","East","late",173,1
"88","567-32*3","N/A","peak",163,1
"89","567-32*3","North","late",173,1
"90","567-32*3","North","peak",167.5,2
"91","567-32*3","South","late",173,1
"92","567-32*3","South","peak",167.5,2
"93","567-32*3","West","late",173,1
"94","567-32*3","West","peak",167.5,2
"95","821-37*1","East","early",172,4
"96","821-37*1","East","late",191,1
"97","821-37*1","East","peak",185,2
"98","821-37*1","N/A","early",163,1
"99","821-37*1","North","early",174.75,4
"100","821-37*1","North","late",191,1
"101","821-37*1","North","peak",185,2
"102","821-37*1","South","early",173,5
"103","821-37*1","South","late",189,2
"104","821-37*1","South","peak",183,1
"105","821-37*1","West","early",174,3
"106","821-37*1","West","peak",185,2
"107","850-55*1","East","early",174.666666666667,6
"108","850-55*1","East","late",187,1
"109","850-55*1","N/A","early",159,2
"110","850-55*1","North","early",174.75,4
"111","850-55*1","North","late",187,1
"112","850-55*1","North","peak",183,1
"113","850-55*1","South","early",171.25,4
"114","850-55*1","South","late",187,1
"115","850-55*1","South","peak",181.5,2
"116","850-55*1","West","early",174.75,4
"117","850-55*1","West","late",189,2
"118","850-55*1","West","peak",183,1
