"","Var1","Freq"
"1","Cercis canadensis L.",105
"2","Cercis chinensis Bunge",9
"3","Cercis canadensis f. alba Rehder",8
"4","Cercis canadensis 'Pinkbud'",5
"5","Cercis canadensis var. texensis (S.Watson) M.Hopkins",5
"6","Cercis canadensis 'Forest Pansy'",3
"7","Cercis canadensis 'Wither's Pink Charm'",3
"8","Cercis canadensis 'Covey'",2
"9","Cercis canadensis 'Greswan'",2
"10","Cercis canadensis 'Hearts of Gold'",2
"11","Cercis canadensis 'MN Strain'",2
"12","Cercis canadensis 'UMN7101'",2
"13","Cercis canadensis 'Vanilla Twist'",2
"14","Cercis siliquastrum L.",2
"15","Cercis canadensis 'JN2'",1
"16","Cercis canadensis 'Morton'",1
"17","Cercis canadensis 'Pauline Lily'",1
"18","Cercis canadensis 'Pink Pom Poms'",1
