"","SpecimenAccession","SpecimenBarcode","DeterminationCalcFullName","Collectors","CollectorNumber","Day","Month","Year","Accounted.for","Buds","Flowers","Fruits","Notes","Percent.Buds","Percent.Flowers","Percent.Fruit","doy","spClean","cult","hyb"
"74187","74187","0071424MOR","Tilia","Podrasky, N","1323V87",8,7,1987,"Yes",0,0,24,NA,0,0,100,189,"Tilia",FALSE,FALSE
"89954","89954","0071423MOR","Tilia","Klock, K","2769V89",13,7,1989,"Yes",0,1,16,NA,0,5.88235294117647,94.1176470588235,194,"Tilia",FALSE,FALSE
"137468","137468","0071422MOR","Tilia","Packard, S","8205V97",4,8,1997,"Yes",0,0,3,NA,0,0,100,216,"Tilia",FALSE,FALSE
"186495","186495","0098809MOR","Tilia 'Harvest Gold'","Beck, J","16025v18",4,10,2018,"Yes",0,0,2,NA,0,0,100,277,"Tilia 'Harvest",TRUE,FALSE
"187352","187352","0098531MOR","Tilia 'Harvest Gold'","Courtney, C","16267v19",12,7,2019,"Yes",0,35,20,NA,0,63.6363636363636,36.3636363636364,193,"Tilia 'Harvest",TRUE,FALSE
"66481","66481","0055197MOR","Tilia 'Redmond'","Podrasky, N","292V84",21,6,1984,"Yes",7,52,7,NA,10.6060606060606,78.7878787878788,10.6060606060606,173,"Tilia 'Redmond'",TRUE,FALSE
"73911","73911","0055206MOR","Tilia 'Redmond'","Podrasky, N","1429V87",25,7,1987,"Yes",0,0,2,NA,0,0,100,206,"Tilia 'Redmond'",TRUE,FALSE
"73924","73924","0055199MOR","Tilia 'Redmond'","Podrasky, N","1436V87",25,7,1987,"Yes",0,0,12,NA,0,0,100,206,"Tilia 'Redmond'",TRUE,FALSE
"73926","73926","0055204MOR","Tilia 'Redmond'","Podrasky, N","1433V87",25,7,1987,"Yes",0,0,9,NA,0,0,100,206,"Tilia 'Redmond'",TRUE,FALSE
"74191","74191","0055207MOR","Tilia 'Redmond'","Podrasky, N","1430V87",25,7,1987,"Yes",0,0,1,NA,0,0,100,206,"Tilia 'Redmond'",TRUE,FALSE
"74758","74758","0055203MOR","Tilia 'Redmond'","Podrasky, N","1434V87",25,7,1987,"Yes",0,0,3,NA,0,0,100,206,"Tilia 'Redmond'",TRUE,FALSE
"74759","74759","0055205MOR","Tilia 'Redmond'","Podrasky, N","1432V87",25,7,1987,"Yes",0,0,6,NA,0,0,100,206,"Tilia 'Redmond'",TRUE,FALSE
"96574","96574","0055208MOR","Tilia 'Redmond'","Gavlak, N","4141V90",2,10,1990,"Yes",0,0,3,NA,0,0,100,275,"Tilia 'Redmond'",TRUE,FALSE
"96871","96871","0055200MOR","Tilia 'Redmond'","Shimp, E","4208V90",17,10,1990,"Yes",0,0,2,NA,0,0,100,290,"Tilia 'Redmond'",TRUE,FALSE
"132119","132119","0055201MOR","Tilia 'Redmond'","Packard, S","7475V96",25,6,1996,"Yes",24,10,0,NA,70.5882352941177,29.4117647058824,0,177,"Tilia 'Redmond'",TRUE,FALSE
"132120","132120","0055194MOR","Tilia 'Redmond'","Packard, S","7472v96",25,6,1996,"Yes",17,13,0,NA,56.6666666666667,43.3333333333333,0,177,"Tilia 'Redmond'",TRUE,FALSE
"132122","132122","0055195MOR","Tilia 'Redmond'","Packard, S","7473V96",25,6,1996,"Yes",25,34,0,NA,42.3728813559322,57.6271186440678,0,177,"Tilia 'Redmond'",TRUE,FALSE
"132211","132211","0055198MOR","Tilia 'Redmond'","Packard, S","7474V96",25,6,1996,"Yes",26,24,1,NA,50.9803921568627,47.0588235294118,1.96078431372549,177,"Tilia 'Redmond'",TRUE,FALSE
"132267","132267","0055202MOR","Tilia 'Redmond'","Packard, S","7476V96",25,6,1996,"Yes",42,9,0,NA,82.3529411764706,17.6470588235294,0,177,"Tilia 'Redmond'",TRUE,FALSE
"152195","152195","0055196MOR","Tilia 'Redmond'","Packard, S","9256V01",19,6,2001,"Yes",6,12,10,NA,21.4285714285714,42.8571428571429,35.7142857142857,170,"Tilia 'Redmond'",TRUE,FALSE
"155777","155777","0045009MOR","Tilia 'Redmond'","Stephens, M","12",25,6,2003,"Yes",12,24,0,NA,33.3333333333333,66.6666666666667,0,176,"Tilia 'Redmond'",TRUE,FALSE
"183462","183462","0092284MOR","Tilia 'Redmond'","Madden, ME","14919v16",13,6,2016,"Yes",16,13,0,NA,55.1724137931034,44.8275862068966,0,165,"Tilia 'Redmond'",TRUE,FALSE
"188464","188464","0100250MOR","Tilia 'Redmond'","Worcester, L","LW 453",20,6,2020,"Yes",73,38,0,NA,65.7657657657658,34.2342342342342,0,172,"Tilia 'Redmond'",TRUE,FALSE
"62459","62459","0049549MOR","Tilia × euchlora K.Koch","Hess, WJ","6251",9,9,1986,"Yes",0,0,11,NA,0,0,100,252,"Tilia ×",FALSE,TRUE
"106266","106266","0049551MOR","Tilia × euchlora K.Koch","Packard, S","5467V92",1,9,1992,"Yes",0,0,24,NA,0,0,100,245,"Tilia ×",FALSE,TRUE
"107201","107201","0049550MOR","Tilia × euchlora K.Koch","Altvatter, K","5512V92",9,10,1992,"Yes",0,0,23,NA,0,0,100,283,"Tilia ×",FALSE,TRUE
"120628","120628","0049545MOR","Tilia × euchlora K.Koch","Carlino, J","6735V94",16,8,1994,"Yes",0,0,12,NA,0,0,100,228,"Tilia ×",FALSE,TRUE
"120629","120629","0049546MOR","Tilia × euchlora K.Koch","Carlino, J","6737V94",16,8,1994,"Yes",0,0,97,NA,0,0,100,228,"Tilia ×",FALSE,TRUE
"120631","120631","0049547MOR","Tilia × euchlora K.Koch","Carlino, J","6736V94",16,8,1994,"Yes",0,0,35,NA,0,0,100,228,"Tilia ×",FALSE,TRUE
"177322","177322","0064245MOR","Tilia × euchlora K.Koch","Potenberg, K","13928v13",6,8,2013,"Yes",0,0,40,NA,0,0,100,218,"Tilia ×",FALSE,TRUE
"188219","188219","0099468MOR","Tilia × euchlora K.Koch","Worcester, L","LW353",5,9,2018,"Yes",0,0,6,NA,0,0,100,248,"Tilia ×",FALSE,TRUE
"36813","36813","0060938MOR","Tilia × europaea 'Pallida'","Hess, WJ","4751",6,7,1979,"Yes",0,0,121,NA,0,0,100,187,"Tilia ×",TRUE,TRUE
"79007","79007","0049526MOR","Tilia × europaea 'Pallida'","Podrasky, N","1567V87",19,8,1987,"Yes",0,0,8,NA,0,0,100,231,"Tilia ×",TRUE,TRUE
"98742","98742","0049524MOR","Tilia × europaea 'Pallida'","Altvatter, K","4902V91",16,8,1991,"Yes",0,0,7,NA,0,0,100,228,"Tilia ×",TRUE,TRUE
"98743","98743","0049523MOR","Tilia × europaea 'Pallida'","Altvatter, K","4910V91",15,8,1991,"Yes",0,0,3,NA,0,0,100,227,"Tilia ×",TRUE,TRUE
