"","SpecimenAccession","SpecimenBarcode","DeterminationCalcFullName","Collectors","CollectorNumber","Day","Month","Year","Accounted.for","Buds","Flowers","Fruits","Notes","Percent.Buds","Percent.Flowers","Percent.Fruit"
"195010","195010","0112609MOR","Tilia 'Zamoyskiana'","Potenberg, K","18868v25",26,6,2025,"No",NA,NA,NA,NA,NA,NA,NA
"117216","117216",NA,"Tilia amurensis Rupr.","Unknown","HLJ-15",1,9,1993,"No",NA,NA,NA,NA,NA,NA,NA
"36827","36827","0049478MOR","Tilia chinensis Maxim.","Hess, WJ","4760",9,7,1979,"No",NA,NA,NA,NA,NA,NA,NA
"194999","194999","0112598MOR","Tilia tomentosa 'Sterling'","Dorrell, J","18877v25",3,7,2025,"No",NA,NA,NA,NA,NA,NA,NA
"13918","13918","0043094MOR","Cercis canadensis L.","Teuscher, H","s.n.",19,9,1923,"Yes",NA,NA,NA,"Sprouts",NA,NA,NA
"50","50",NA,"Acer diabolicum Blume ex K.Koch","Dorrell, J","16919v21",26,8,2021,"looked",NA,NA,NA,NA,NA,NA,NA
"188968","188968","0099865MOR","Acer floridanum (Chapm.) Pax","Potenberg, K","16943v21",30,9,2021,"looked",NA,NA,NA,NA,NA,NA,NA
"162085","162085","0053206MOR","Acer glabrum × tataricum","Bonnewell, V",NA,7,5,2007,"looked",NA,NA,NA,NA,NA,NA,NA
"162086","162086","0053205MOR","Acer glabrum × tataricum","Bonnewell, V",NA,7,5,2007,"looked",NA,NA,NA,NA,NA,NA,NA
"66","66",NA,"Acer miyabei 'JFS-KW3AMI'","Hartmann, K","19132v26",5,5,2026,"looked",NA,NA,NA,NA,NA,NA,NA
"166388","166388",NA,"Acer miyabei Maxim.","Potenberg, K","11431v08",28,10,2008,"looked",NA,NA,NA,NA,NA,NA,NA
"176983","176983","0064035MOR","Acer palmatum 'Burgundy Lace'","Carle, M","13867v13",3,7,2013,"looked",NA,NA,NA,NA,NA,NA,NA
"106857","106857","0039983MOR","Acer platanoides L.","Altvatter, K","5514V92",9,10,1992,"looked",NA,NA,NA,NA,NA,NA,NA
"187893","187893","0099244MOR","Acer platanoides L.","Worcester, L","LW433",28,9,2018,"looked",NA,NA,NA,NA,NA,NA,NA
"146703","146703","0055072MOR","Acer","Wiegrefe, S","543",19,6,1998,"No",NA,NA,NA,NA,NA,NA,NA
"146743","146743","0055445MOR","Acer","Wiegrefe, S","583",29,6,1998,"No",NA,NA,NA,NA,NA,NA,NA
"146964","146964","0054891MOR","Acer","Wiegrefe, S","752",14,8,1998,"No",NA,NA,NA,NA,NA,NA,NA
"146967","146967","0054894MOR","Acer","Wiegrefe, S","755",14,8,1998,"No",NA,NA,NA,NA,NA,NA,NA
"146977","146977","0054818MOR","Acer","Wiegrefe, S","660",30,7,1998,"No",NA,NA,NA,NA,NA,NA,NA
"147264","147264","0054898MOR","Acer","Wiegrefe, S","764",14,8,1998,"No",NA,NA,NA,NA,NA,NA,NA
"149268","149268","0039550MOR","Acer 'Morton UW'","Jordan, S","9141V00",27,4,2000,"No",NA,NA,NA,NA,NA,NA,NA
"10","10","0039290MOR","Acer argutum Maxim.","Schulenberg, RF","s.n.",15,10,1976,"No",NA,NA,NA,NA,NA,NA,NA
"9414","9414","0039291MOR","Acer argutum Maxim.","Schulenberg, RF","s.n.",20,4,1977,"No",NA,NA,NA,NA,NA,NA,NA
"187437","187437","0098322MOR","Acer argutum Maxim.","Worcester, L","LW261",31,7,2018,"No",NA,NA,NA,NA,NA,NA,NA
"189728","189728","0102267MOR","Acer argutum Maxim.","Potenberg, K","17424v22",29,9,2022,"No",NA,NA,NA,NA,NA,NA,NA
"48","48",NA,"Acer saccharinum 'Skinneri'","Sachdev, S","13678v13",3,4,2013,"No",NA,NA,NA,NA,NA,NA,NA
"119676","119676",NA,"Acer saccharinum L.","Packard, S","6504V94",24,5,1994,"No",NA,NA,NA,NA,NA,NA,NA
"49","49",NA,"Acer saccharum 'Hiawatha 1'","Hartmann, K","19133v26",5,5,2026,"No",NA,NA,NA,NA,NA,NA,NA
"71791","71791","0040001MOR","Acer saccharum subsp. leucoderme (Small) Desmarais","Podrasky, N","438V85",24,4,1985,"No",NA,NA,NA,NA,NA,NA,NA
"80765","80765","0044908MOR","Cornus amomum Mill.","Podrasky, N","2169V88",19,7,1988,"No",NA,NA,NA,NA,"#DIV/0!","#DIV/0!","#DIV/0!"
"6474","6474","0044940MOR","Cornus asperifolia Michx.","Teuscher, H","s.n.",2,4,1923,"No",NA,NA,NA,NA,"#DIV/0!","#DIV/0!","#DIV/0!"
"193585","193585","0109231MOR","Cornus controversa 'June Snow-JFS'","Dorrell, J","18590v24",19,9,2024,"No",NA,NA,NA,NA,"#DIV/0!","#DIV/0!","#DIV/0!"
"182789","182789","0090951MOR","Cornus racemosa Lam.","Reilly, S","14896v16",6,6,2016,"No",NA,NA,NA,NA,"#DIV/0!","#DIV/0!","#DIV/0!"
"64880","64880","0045145MOR","Cornus macrophylla Wall.","Podrasky, N","691V86",17,6,1986,"Yes",373,135,NA,NA,"0.7342519685","0.2657480315","0"
