"","SpecimenAccession","SpecimenBarcode","DeterminationCalcFullName","Collectors","CollectorNumber","Day","Month","Year","LocalityNotes","Accounted.for","Buds","Flowers","Fruits","Notes","Percent.Buds","Percent.Flowers","Percent.Fruit"
"177676","177676","0065608MOR","Tilia","Beck, J","13957v13",15,8,2013,"Tilia: Z-56/77-19","Yes",0,0,0,NA,NA,NA,NA
"190618","190618","0101807MOR","Tilia 'Moltkei'","Worcester, L","LW 590",25,9,2020,"Sargent's Glade: GG-22/49-27","Yes",0,0,0,NA,NA,NA,NA
"190222","190222","0099413MOR","Tilia 'Zamoyskiana'","Worcester, L","LW 607",28,9,2020,"Lower Joy Path: Q-24/73-71","Yes",0,0,0,NA,NA,NA,NA
"188220","188220","0099467MOR","Tilia × europaea 'Pallida'","Worcester, L","LW356",5,9,2018,"Tilia: W-57/55-50","Yes",0,0,0,NA,NA,NA,NA
"188217","188217","0099470MOR","Tilia × europaea L.","Worcester, L","LW350",30,8,2018,"Tilia: AA-54/33-65","Yes",0,0,0,NA,NA,NA,NA
"188445","188445","0099844MOR","Tilia × europaea L.","Worcester, L","LW 454",20,6,2020,"Tilia: O-87/20-96","Yes",0,0,0,NA,NA,NA,NA
"188446","188446","0099843MOR","Tilia × europaea L.","Worcester, L","LW 455",20,6,2020,"Tilia: P-92/97-20","Yes",0,0,0,NA,NA,NA,NA
"187828","187828","0099172MOR","Tilia × flaccida Host ex Bayer","Worcester, L","LW404",25,9,2018,"Tilia: AA-54/18-92","Yes",0,0,0,NA,NA,NA,NA
"188222","188222","0099465MOR","Tilia × flavescens 'Glenleven'","Worcester, L","LW402",25,9,2018,"East Tilia: Q-91/44-18","Yes",0,0,0,NA,NA,NA,NA
"153303","153303","0071421MOR","Tilia × zamoyskiana Wróbl.","Anderson, B","7922",2,8,1979,"Tiliaceae Collection, [Z-52/80-65]","Yes",0,0,0,NA,NA,NA,NA
"188448","188448","0099841MOR","Tilia amurensis subsp. taquetii (C.K.Schneid.) Pigott","Worcester, L","LW 457",13,8,2020,"Korea: P-63/97-58","Yes",0,0,0,NA,NA,NA,NA
"187832","187832","0099170MOR","Tilia begoniifolia Steven","Worcester, L","LW370",13,9,2018,"Propagation: H-30/area (Hoop House 5)","Yes",0,0,0,NA,NA,NA,NA
"190040","190040","0099376MOR","Tilia chinensis Maxim.","Worcester, L","LW 618",30,9,2020,"China: CC-67/37-93","Yes",0,0,0,NA,NA,NA,NA
"187831","187831","0099169MOR","Tilia chingiana Hu & W.C.Cheng","Worcester, L","LW369",13,9,2018,"Propagation: H-30/area (Hoop House 5)","Yes",0,0,0,NA,NA,NA,NA
"190042","190042","0099374MOR","Tilia cordata 'Corzam'","Worcester, L","LW 620",30,9,2020,"Firefly Pond: G-43/45-38","Yes",0,0,0,NA,NA,NA,NA
"190637","190637","0101701MOR","Tilia cordata 'Greenspire'","Worcester, L","LW 569",23,9,2020,"Gateway to Tree Science: F-101/35-48","Yes",0,0,0,NA,NA,NA,NA
"189742","189742","0101219MOR","Tilia cordata 'Halka'","Worcester, L","LW 499",26,8,2020,"West DuPage River: L-28/21-34","Yes",0,0,0,NA,NA,NA,NA
"187827","187827","0099171MOR","Tilia cordata Mill.","Worcester, L","LW371",13,9,2018,"Propagation: H-30/area (Hoop House 5)","Yes",0,0,0,NA,NA,NA,NA
"190639","190639","0101699MOR","Tilia cordata Mill.","Worcester, L","LW 571",23,9,2020,"Gateway to Tree Science: D-100/49-80  Row 7","Yes",0,0,0,NA,NA,NA,NA
